Region,Species,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
National Capital Region ,Siganid ,28.0,31.0,47.019999999999996,39.370000000000005,58.73,31.99,29.173333333333332,32.8,23.253333333333334,23.939999999999998,26.05333333333333,18.506666666666668,23.4,378.5866666666667,208.88,61.72,47.95,63.84,23.773333333333337,8.61,5.2,,
National Capital Region ,Skipjack ,9982.0,10344.0,11594.92,9337.02,7732.01,4618.08,3915.0699999999997,3067.7,4882.63,3271.4500000000003,1865.2600000000002,2455.0299999999997,2317.45,2351.2299999999996,2528.3399999999997,1999.53,1844.2099999999998,1734.8899999999999,1378.25,1476.8500000000001,2685.4500000000003,1813.53,2570.2
National Capital Region ,Slipmouth ,221.0,267.0,260.41,154.04,70.03999999999999,65.53999999999999,68.89,132.32,178.93,190.55,286.04,470.5,1245.52,869.1600000000001,1718.56,991.28,726.98,830.09,85.16000000000001,71.94,174.18,1015.4666666666668,754.5000000000001
National Capital Region ,Snapper ,24.0,16.0,11.57,21.573333333333334,28.0,,4.0,1.6,,,,6.16,7.2,14.740000000000002,39.04,207.69,135.73,176.82999999999998,24.159999999999997,8.78,8.36,1.52,
National Capital Region ,Spanish mackerel ,89.0,18.666666666666668,129.23,567.1466666666666,190.4,30.453333333333333,21.866666666666667,17.4,21.770000000000003,37.99,39.519999999999996,29.58,38.1,60.72,192.87999999999997,228.14000000000001,164.27,176.59,41.37,16.75,8.28,36.92,27.900000000000002
National Capital Region ,Squid ,245.0,72.0,238.89,276.04,183.64999999999998,330.79,231.97,136.14999999999998,250.5,236.69,202.16,325.07000000000005,112.91000000000001,189.98000000000002,292.41999999999996,357.63,398.29999999999995,340.21,106.8,57.7,223.63,12.746666666666668,49.92
National Capital Region ,Threadfin bream ,441.0,815.0,1471.5800000000002,5123.82,7319.650000000001,8419.619999999999,6644.77,5604.2300000000005,5205.71,6185.110000000001,5118.709999999999,3387.66,1402.78,721.6,1150.76,1399.39,799.08,896.3499999999999,1397.68,1286.46,731.6500000000001,400.34000000000003,208.0
National Capital Region ,Yellowfin tuna ,2591.0,1141.0,1194.4099999999999,1330.79,1134.99,915.71,1211.79,936.01,1332.47,800.52,736.48,841.3799999999999,812.39,728.0699999999999,1081.98,959.0300000000001,548.0799999999999,671.01,501.45000000000005,411.26,1296.2,1425.62,1615.03
National Capital Region ,Others,7014.0,6700.0,8590.95,9243.82,4294.719999999999,5756.62,4722.879999999999,6700.5,7213.040000000001,7229.58,7497.459999999999,9851.380000000001,9057.61,5602.85,7949.55,6691.28,4714.0599999999995,3903.2,5327.86,2015.1,2434.69,3010.93,6030.400000000001
Cordillera Administrative Region ,Acetes ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cordillera Administrative Region ,Anchovies ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cordillera Administrative Region ,Big-eyed scad ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cordillera Administrative Region ,Bigeye tuna ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cordillera Administrative Region ,Blue crab ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cordillera Administrative Region ,Caesio ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cordillera Administrative Region ,Cavalla ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cordillera Administrative Region ,Crevalle ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cordillera Administrative Region ,Eastern little tuna ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cordillera Administrative Region ,Fimbriated sardines ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cordillera Administrative Region ,Flying fish ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cordillera Administrative Region ,Frigate tuna ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cordillera Administrative Region ,Goatfish ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cordillera Administrative Region ,Grouper ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cordillera Administrative Region ,Hairtail ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cordillera Administrative Region ,Indian mackerel ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cordillera Administrative Region ,Bali sardinella ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cordillera Administrative Region ,Indo-pacific mackerel ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cordillera Administrative Region ,Mullet ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cordillera Administrative Region ,Parrot fish ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cordillera Administrative Region ,Porgies ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cordillera Administrative Region ,Round herring ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cordillera Administrative Region ,Roundscad ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cordillera Administrative Region ,Siganid ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cordillera Administrative Region ,Skipjack ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
