Region,Species,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Region II ,Blue crab ,,14.0,12.920000000000002,12.0,5.62,14.213333333333335,16.419999999999998,3.8000000000000003,4.8133333333333335,7.06,6.26,6.706666666666665,2.2800000000000002,2.17,1.5299999999999998,1.49,1.29,1.06,0.76,0.6,0.55,1.8899999999999997,1.1099999999999999
Region II ,Caesio ,54.0,42.0,38.800000000000004,46.69333333333333,46.47,57.190000000000005,51.65,86.59,339.88,290.58000000000004,230.13,231.76999999999998,226.35,209.83,170.76999999999998,146.76999999999998,123.35000000000001,106.78,83.61,71.00999999999999,65.07,57.31,53.46
Region II ,Cavalla ,257.0,220.0,225.2,273.08,193.51999999999998,184.2,169.22,136.60000000000002,327.63,283.48,194.93,218.6,206.43,193.23000000000002,148.54,118.42000000000002,104.37,88.84,69.53,73.22000000000001,85.85,107.22,84.64999999999999
Region II ,Crevalle ,,4.0,4.666666666666667,8.639999999999999,9.84,16.746666666666666,14.52,67.94666666666666,126.03999999999999,125.88,132.93,158.04000000000002,159.72,152.62,125.63,104.46000000000001,89.79,66.83,49.43999999999999,42.45,41.66,29.509999999999998,20.35
Region II ,Eastern little tuna ,24.0,6.0,6.0,33.88,552.9999999999999,604.9699999999999,533.86,699.31,666.35,542.06,399.34999999999997,424.05,426.06000000000006,421.33,427.09000000000003,399.19,345.07,246.59,179.95,162.72,143.26999999999998,133.55,129.85
Region II ,Fimbriated sardines ,473.0,509.3333333333333,435.64,431.58,387.98,431.51,365.44,350.14000000000004,390.51,402.96000000000004,258.59,302.29,282.39,283.06,237.85,187.74,153.95000000000002,135.99,102.48,88.46,81.25999999999999,76.97,74.07000000000001
Region II ,Flying fish ,16.0,10.666666666666666,10.666666666666666,15.6,14.48,13.370000000000001,22.59,26.96,34.489999999999995,29.450000000000003,26.76,22.27,29.5,34.96,24.689999999999998,19.35,16.32,13.04,9.97,9.190000000000001,16.05,20.11,15.489999999999998
Region II ,Frigate tuna ,1868.0,1557.0,1639.23,1829.4099999999999,3166.77,3220.57,2171.53,1532.6499999999999,1226.92,1161.43,853.77,825.1299999999999,899.3599999999999,1058.5800000000002,1009.1,913.65,689.21,519.74,427.46999999999997,409.02,419.76,417.69999999999993,380.89
Region II ,Goatfish ,,382.6666666666667,382.40000000000003,473.7066666666667,315.94666666666666,275.52,294.68,181.53000000000003,373.4,358.99,238.82,249.17000000000002,253.03,241.93,209.22000000000003,179.31,163.13,126.47999999999999,94.75000000000001,81.92,70.63,61.529999999999994,45.17
Region II ,Grouper ,15.0,23.0,23.06,34.47,29.529999999999998,31.65,30.559999999999995,21.35,28.386666666666667,25.853333333333335,21.64,20.159999999999997,19.146666666666665,20.05,18.52,11.1,9.11,7.110000000000001,6.539999999999999,5.94,9.02,10.76,7.279999999999999
Region II ,Hairtail ,56.0,273.0,304.72,681.6100000000001,709.1300000000001,863.73,829.04,932.8599999999999,1365.4900000000002,1329.4400000000003,885.9300000000001,964.9399999999999,1090.3400000000001,1104.5800000000002,1101.65,828.7000000000002,642.4499999999999,419.08000000000004,325.53999999999996,310.74,297.51000000000005,270.26,283.59999999999997
Region II ,Indian mackerel ,12.0,,,59.040000000000006,41.66,33.72,32.85333333333333,58.839999999999996,175.33,174.09,126.27000000000001,146.52999999999997,136.6,124.1,114.75000000000001,112.16000000000001,87.55,67.76,56.25,45.879999999999995,44.76,39.4,30.64
Region II ,Bali sardinella ,638.0,581.3333333333334,487.46000000000004,530.48,450.46000000000004,569.5400000000001,530.99,583.0200000000001,584.8,541.13,488.57,496.73,507.89,489.38000000000005,454.95,378.08,343.7,285.09999999999997,239.32000000000002,187.85,144.6,135.94,119.27000000000001
Region II ,Indo-pacific mackerel ,,4.0,4.746666666666666,5.973333333333333,6.373333333333334,12.38,25.81,44.21333333333333,84.75,110.66000000000001,86.22999999999999,103.61000000000001,107.97,120.2,104.44,104.71000000000001,89.93,81.52,65.98,52.22,50.58,44.21,31.18
Region II ,Mullet ,,,,,,,2.96,4.22,1.4,0.84,0.32,16.55,13.906666666666666,10.15,9.77,5.75,3.72,3.2600000000000002,3.0533333333333332,2.6799999999999997,3.0,5.209999999999999,3.4999999999999996
Region II ,Parrot fish ,,,,,,,,,,,,4.48,4.24,4.48,3.76,2.76,1.84,1.52,1.44,1.04,2.9599999999999995,4.55,3.4499999999999997
Region II ,Porgies ,,,,,,,19.48,,,,,6.16,4.64,5.44,4.08,2.4,1.4,1.2,1.12,0.84,0.5466666666666667,2.5,1.6300000000000001
Region II ,Round herring ,11.0,24.0,11.706666666666667,3.44,2.48,2.72,11.899999999999999,30.6,57.809999999999995,52.849999999999994,39.82,64.0,73.05000000000001,70.58,63.99,59.809999999999995,48.92,37.269999999999996,29.34,22.49,19.009999999999998,16.520000000000003,12.290000000000001
Region II ,Roundscad ,1425.0,1481.0,1244.57,796.7600000000001,618.73,669.37,867.62,574.4,716.07,739.27,642.0999999999999,661.7199999999999,725.84,787.14,801.98,649.9699999999999,520.07,409.74,318.28999999999996,301.21,290.60999999999996,244.42000000000002,172.63
Region II ,Siganid ,,16.0,4.0,2.3866666666666667,1.8800000000000001,1.4133333333333333,2.12,85.76,5.28,3.24,2.68,14.0,9.82,13.940000000000001,10.32,6.6,4.2,2.88,2.52,1.8399999999999999,3.0666666666666664,3.28,3.01
Region II ,Skipjack ,205.0,162.0,165.26,181.14999999999998,265.09000000000003,324.29,288.69,447.68,489.96000000000004,451.07,386.15999999999997,321.03999999999996,350.49,345.16,314.88,257.37,201.79999999999998,150.70000000000002,127.07,99.33999999999999,100.73,110.52,89.08
Region II ,Slipmouth ,2329.0,1932.0,2089.77,1488.08,1323.39,1190.22,877.73,1109.01,1034.31,1016.13,746.36,773.6399999999999,778.44,860.09,849.66,701.63,567.03,384.98,315.53000000000003,249.74000000000004,240.25,195.75000000000003,174.88
Region II ,Snapper ,23.0,13.0,12.129999999999999,19.110000000000003,35.35,38.05,45.61,50.45,65.18,64.5,56.69,58.84,41.82000000000001,67.58666666666666,64.09333333333333,38.4,22.09333333333333,17.426666666666666,12.66,11.53,10.18,12.27,12.090000000000002
Region II ,Spanish mackerel ,148.0,294.6666666666667,250.0,349.89,399.97,440.47,323.43,453.35,594.8900000000001,507.31000000000006,405.75,419.43,436.93,420.86999999999995,405.0799999999999,382.85,322.93,269.96,238.29000000000002,195.47,180.46,170.93,152.75
Region II ,Squid ,185.0,173.0,242.99,220.45,209.5,207.96,399.17,386.07,440.39,440.4,378.87,394.53999999999996,395.77,400.56,390.42,284.16,210.07,180.52,153.9,135.89,132.26,126.47,122.53999999999999
Region II ,Threadfin bream ,40.0,226.66666666666666,230.97333333333333,163.95999999999998,128.29999999999998,82.13000000000001,85.70666666666665,175.49,385.46000000000004,406.23,368.92,365.58,385.76,357.95,331.31000000000006,316.56999999999994,257.5,196.14000000000001,142.64999999999998,129.27,98.29,80.13,57.400000000000006
Region II ,Yellowfin tuna ,86.0,196.0,259.0,508.75999999999993,2067.72,1641.99,1163.6299999999999,939.5100000000001,668.72,554.19,479.19,387.35999999999996,406.19,399.28,366.38,334.28,256.15999999999997,198.02,153.53000000000003,151.2,167.87,192.35,167.98000000000002
Region II ,Others,1646.0,3218.6666666666665,2578.51,2464.6400000000003,1935.75,2270.86,1372.0,1249.06,2213.92,2189.6499999999996,1493.7800000000002,1288.63,1251.7199999999998,1183.48,1084.83,839.48,679.53,482.14,383.81000000000006,340.19,352.05,336.83,295.64
Region III ,Acetes ,272.0,232.0,152.8,90.09,93.85,96.65,28.11,1.5,,,,,,,,,3.6,2.88,35.6,10.6,49.63,,
Region III ,Anchovies ,2168.0,2225.0,2181.87,1436.02,564.88,556.06,211.12,54.89,26.790000000000003,11.8,11.09,13.030000000000001,21.3,34.8,20.85,53.150000000000006,33.2,27.31,25.53,11.82,65.78999999999999,9.15,11.946666666666665
Region III ,Big-eyed scad ,84.0,4.0,48.0,115.80000000000001,146.26,144.85,138.14,80.69000000000001,40.89333333333334,83.34,44.89,41.94,52.38999999999999,59.26,30.06,87.06,166.94,180.24,51.3,44.33,19.413333333333338,0.64,11.213333333333333
Region III ,Bigeye tuna ,,,,262.98,428.15,304.68,265.92,215.50000000000003,227.81000000000003,119.50666666666666,71.75999999999999,58.3,57.3,52.1,25.026666666666667,48.330000000000005,141.06,188.43,72.03,108.24,35.6,,0.68
Region III ,Blue crab ,88.0,78.0,80.75999999999999,70.64,116.05000000000001,177.93,167.67,74.65,46.57,55.97,47.36,48.5,55.059999999999995,50.333333333333336,39.03,36.7,8.83,22.87,48.71,18.89,32.28,9.33,11.1
Region III ,Caesio ,,8.0,8.0,8.0,13.10666666666667,13.6,18.36,7.06,37.92,11.68,0.4,0.44,0.48,17.12,8.159999999999998,25.666666666666668,91.22666666666667,84.21000000000001,14.2,6.48,27.0,,
Region III ,Cavalla ,17.333333333333332,21.333333333333332,20.26,20.2,22.64,18.549999999999997,15.2,5.69,5.026666666666667,1.28,1.56,1.48,1.4,13.92,6.8933333333333335,87.6,322.29333333333335,258.31,37.91,41.2,70.10666666666667,110.48,3.1866666666666665
Region III ,Crevalle ,69.0,60.0,61.269999999999996,197.21,253.68,269.66,231.75,131.35000000000002,13.86,26.82,30.53333333333333,22.3,24.82,35.849999999999994,263.06,53.226666666666674,111.25,145.95999999999998,46.63,115.5,133.05,18.2,8.82
Region III ,Eastern little tuna ,,8.0,44.0,242.20999999999998,146.69,182.46,83.47999999999999,28.830000000000002,375.94666666666666,216.76,60.46666666666666,242.27999999999997,196.18666666666667,212.54000000000002,65.06,408.0,752.41,985.74,497.19,232.04,382.11,333.36,637.9
Region III ,Fimbriated sardines ,495.0,570.0,609.48,724.25,770.3,762.7199999999999,880.53,423.77,40.010000000000005,52.53,40.373333333333335,35.35,3398.25,2462.6,884.67,1427.33,604.6800000000001,136.06,99.72999999999999,219.28,397.77,223.85000000000002,331.75
Region III ,Flying fish ,,,,1.2999999999999998,1.48,1.5599999999999998,1.62,2.2,1.62,0.56,,,,,5.0,14.8,43.2,24.72,20.666666666666668,,46.4,,
Region III ,Frigate tuna ,56.0,43.0,55.529999999999994,225.14999999999998,457.91,447.96999999999997,336.14000000000004,556.39,448.64,494.47,292.74,273.11,323.3,280.62,186.92000000000002,354.84,593.99,663.39,314.09,269.63,359.27,288.73,98.63
Region III ,Goatfish ,44.0,,,,,,3.96,3.0,34.0,,,,,,1.8,,153.8,98.9,15.333333333333336,20.56,19.2,,3.6799999999999997
Region III ,Grouper ,,,19.0,12.280000000000001,7.67,7.333333333333333,10.0,,,,,,,8.16,1.28,15.52,163.4,119.74000000000001,22.6,3.586666666666666,19.77333333333333,0.04,
Region III ,Hairtail ,11.0,10.0,11.97,124.78,146.21,144.57,133.10000000000002,83.25,,,,,,,10.46,9.14,16.6,7.84,18.35,2.7,21.32,1.5,3.74
Region III ,Indian mackerel ,108.0,133.0,128.34,262.16999999999996,256.91,284.71,265.54999999999995,141.44,71.91,68.75999999999999,58.16,52.67,59.15,67.83,38.779999999999994,59.529999999999994,163.45999999999998,217.18,68.25999999999999,135.04,68.41333333333334,27.973333333333333,0.76
Region III ,Bali sardinella ,27.0,39.0,47.43,91.98,103.25,99.53,81.97999999999999,63.6,,,,8.5,14.4,16.4,548.2,483.52,112.67,120.02,21.733333333333334,29.019999999999996,56.17333333333333,342.9066666666667,14.919999999999998
Region III ,Indo-pacific mackerel ,198.0,200.0,198.66,295.33,440.64,494.24,385.07,243.22,111.56,109.47,90.47,78.37,83.5,915.1199999999999,801.51,103.52000000000001,163.24,211.94,77.41,111.9,116.52,25.01,22.169999999999998
Region III ,Mullet ,553.0,576.0,589.39,452.52,399.78999999999996,437.87,357.07000000000005,65.14,55.83,51.7,39.45,38.8,49.97,44.120000000000005,18.82,39.56,23.21,51.0,41.379999999999995,16.87,74.72999999999999,23.27,52.22
Region III ,Parrot fish ,,,,,,,,20.08,,,,,,,,,,,25.6,,38.0,1.64,
Region III ,Porgies ,,,,,,,,,,,,,,,,,,,23.0,,19.6,,27.44
Region III ,Round herring ,,,22.666666666666668,24.830000000000002,7.4,8.666666666666666,11.32,,,,,,,,,,,,23.0,,20.4,,
Region III ,Roundscad ,433.0,447.0,458.22,544.33,934.66,908.41,732.65,557.04,404.14000000000004,506.85,466.82,534.98,529.6600000000001,480.53,462.05000000000007,816.12,969.07,1363.1,536.55,706.4599999999999,2950.8599999999997,2126.71,911.22
Region III ,Siganid ,,,18.0,9.04,3.6,8.0,,,,,,,,,,,,7.26,16.933333333333334,,19.580000000000002,,
Region III ,Skipjack ,3220.0,2517.0,2366.33,1238.57,1555.06,1651.79,1883.4,1437.1599999999999,1666.5,1740.9499999999998,1426.5699999999997,1287.21,1338.68,1152.63,733.66,833.78,1094.82,1267.9,749.1499999999999,555.0600000000001,1416.07,1358.08,801.8
Region III ,Slipmouth ,123.0,140.0,135.19,200.3,205.32,244.82999999999998,265.04,126.65,38.35,40.449999999999996,25.2,23.6,26.0,23.866666666666664,14.079999999999998,19.130000000000003,9.46,48.62,46.17,71.53999999999999,109.96000000000001,23.9,31.31
Region III ,Snapper ,,20.0,18.0,14.84,12.53,15.266666666666666,17.0,,,,,,,5.2,3.8666666666666667,9.86,104.8,84.13,37.6,,24.0,,3.48
Region III ,Spanish mackerel ,29.0,36.0,45.339999999999996,60.339999999999996,50.7,47.51,30.65,10.46,5.1,3.3299999999999996,1.92,,,11.2,275.17,54.46666666666667,268.4,165.54,29.55,51.03999999999999,50.92,21.56,25.84
Region III ,Squid ,334.0,332.0,337.17999999999995,385.23,321.97999999999996,273.09,242.88,169.82,53.230000000000004,51.959999999999994,43.099999999999994,37.370000000000005,36.3,39.83,188.52,24.950000000000003,3.87,107.16,71.57,17.91,76.76999999999998,21.090000000000003,11.799999999999999
Region III ,Threadfin bream ,319.0,306.0,296.83,290.34999999999997,257.46999999999997,195.39000000000001,197.57,108.68,60.5,63.55,50.06666666666666,43.66,40.35,46.739999999999995,48.72,84.69,109.02,144.54,33.760000000000005,10.05,33.32,7.146666666666667,
Region III ,Yellowfin tuna ,730.0,760.0,814.33,696.58,792.23,638.87,622.09,772.0400000000001,596.25,844.24,536.5,471.96,480.21000000000004,496.28999999999996,238.35,526.04,1102.4499999999998,1202.96,750.27,393.64,999.3199999999999,1293.51,753.8799999999999
Region III ,Others,2490.0,2511.0,2655.15,1466.8500000000001,1465.0499999999997,1520.8899999999999,1405.17,527.76,121.51,97.39,80.76,95.24000000000001,86.48,242.79,118.68,321.24,294.11,467.03999999999996,132.78,101.26,402.03,248.02,462.11999999999995
Region IV-A ,Acetes ,132.0,22.0,48.0,24.0,70.10666666666667,95.45,7.959999999999999,13.333333333333332,21.959999999999997,42.04,27.893333333333338,20.92,61.14,16.8,47.34,34.089999999999996,54.39,70.97333333333334,47.48,47.28,12.92,8.0,6.6
Region IV-A ,Anchovies ,5329.0,4726.0,4302.16,4223.620000000001,1962.19,2241.8199999999997,1786.62,2301.1,2884.84,2776.38,1751.03,617.61,1564.1999999999998,1158.28,736.21,295.53,160.93,443.72,190.59,166.54,507.53999999999996,849.94,209.7
Region IV-A ,Big-eyed scad ,2724.0,2464.0,2233.35,1929.09,701.35,1545.0700000000002,1977.28,1225.51,1634.5299999999997,1568.04,1592.0100000000002,1300.8500000000001,1846.76,1542.5800000000002,2047.27,1588.6100000000001,734.2700000000001,829.57,719.37,752.74,395.89,940.22,802.7299999999999
Region IV-A ,Bigeye tuna ,,,,399.27,301.77,655.75,790.1500000000001,181.78000000000003,465.10999999999996,482.9,1279.06,1582.99,1054.47,563.01,1410.9299999999998,1181.89,698.2,1260.53,1298.8400000000001,1265.82,1518.5,1207.8500000000001,2486.26
Region IV-A ,Blue crab ,339.0,195.0,215.44,33.52,61.82000000000001,282.58,355.24999999999994,122.86999999999999,124.74000000000001,113.19,140.41,149.45999999999998,294.13,195.75,167.85,331.33000000000004,473.70000000000005,372.0,358.53,200.70999999999998,36.68,,
Region IV-A ,Caesio ,112.0,188.0,591.0,1188.5,613.1600000000001,955.8499999999999,592.76,493.74,557.85,313.18000000000006,601.85,404.38,408.31,971.31,430.70000000000005,443.07000000000005,439.91,623.0699999999999,594.02,764.56,2841.6200000000003,1074.73,180.7
Region IV-A ,Cavalla ,68.0,426.0,282.92,173.95,136.83,229.56,715.97,601.28,492.85,697.22,840.5300000000001,1454.2799999999997,1278.1299999999999,785.4999999999999,157.57999999999998,231.22999999999996,210.26,233.31,246.41000000000003,325.98,291.45,466.19,216.2
Region IV-A ,Crevalle ,96.0,245.0,76.0,164.85,143.49,195.68,267.39,256.32,224.53,235.36,125.84,96.54,478.51,234.68,122.68,214.93000000000004,222.2,148.72,129.16000000000003,107.23,108.71000000000001,175.02,188.8
Region IV-A ,Eastern little tuna ,,,,5.129999999999999,23.66,127.85000000000001,365.6,446.0,267.38000000000005,7.44,12.239999999999998,4.2,64.52,27.14666666666667,11.5,,27.32,,33.120000000000005,187.18,668.5699999999999,258.84000000000003,209.17333333333337
Region IV-A ,Fimbriated sardines ,686.0,540.0,422.13,742.75,684.0400000000001,1225.9199999999998,3152.33,2830.6299999999997,2397.34,2761.42,2611.57,2457.2400000000002,5437.49,5649.36,4391.26,4475.889999999999,4874.71,2944.22,1427.7099999999998,409.19,200.64000000000001,124.09,222.14999999999998
Region IV-A ,Flying fish ,90.66666666666667,6.666666666666667,,4.0,12.64,2.8,,13.479999999999999,15.12,,11.16,26.619999999999997,43.266666666666666,0.92,11.72,18.98,127.36,205.64,194.44,31.773333333333333,177.14999999999998,110.16999999999999,200.66
Region IV-A ,Frigate tuna ,9872.0,11001.0,10708.02,4413.4800000000005,6320.400000000001,8958.140000000001,11695.859999999999,11891.269999999999,10505.9,8616.789999999999,11327.12,10958.27,11700.82,11420.26,6754.299999999999,6387.14,6155.59,4609.7699999999995,3861.68,2952.17,2288.15,3041.8799999999997,4485.94
Region IV-A ,Goatfish ,1813.0,1462.0,1404.0,1051.3000000000002,1091.8899999999999,1991.5099999999998,1449.2000000000003,505.52,681.24,562.54,620.5699999999999,294.87,427.03000000000003,238.88,592.7699999999999,151.82999999999998,157.39999999999998,123.16999999999999,129.54,63.980000000000004,37.849999999999994,19.57,24.549999999999997
Region IV-A ,Grouper ,133.0,55.0,56.0,73.39,76.84,196.07,196.73999999999998,310.61,280.36,424.36,360.06,258.71999999999997,399.71000000000004,281.92,143.11,186.72,308.48,237.26,323.46,156.63,340.75,183.10000000000002,87.29
Region IV-A ,Hairtail ,886.0,562.0,617.89,805.36,550.17,927.3000000000002,2715.24,1756.3100000000002,1399.2900000000002,1508.87,305.21,262.83,281.57,692.8900000000001,2457.22,1778.48,1328.16,358.01,393.40999999999997,409.63,304.74,440.77,246.57
Region IV-A ,Indian mackerel ,6795.0,7338.0,6129.3,12002.42,13247.409999999998,11025.590000000002,9744.150000000001,9160.69,11039.490000000002,9424.62,8989.61,10760.99,10403.740000000002,7746.639999999999,2524.71,4361.09,3047.0,3957.78,2154.4,1603.7400000000002,1142.3000000000002,1673.0299999999997,666.49
Region IV-A ,Bali sardinella ,6066.0,5812.0,6052.53,11260.39,11535.109999999999,13440.06,7440.55,8836.45,10393.44,6525.26,4414.04,971.8500000000001,1769.71,2543.3399999999997,6386.0,6463.139999999999,4717.66,3358.6600000000003,2016.5199999999998,702.0600000000001,771.94,2391.85,979.5199999999999
Region IV-A ,Indo-pacific mackerel ,1870.0,1430.0,1409.56,1286.5800000000002,1030.73,884.89,717.0799999999999,638.27,977.78,1260.47,790.91,484.86,493.29,516.6800000000001,493.54999999999995,259.51,283.69,220.82,264.40999999999997,241.44,79.51,377.27000000000004,254.96
Region IV-A ,Mullet ,45.0,15.0,4.07,14.01,6.369999999999999,37.14,13.04,12.489999999999998,50.61,107.92,83.81,90.72999999999999,70.25,30.07,20.85,13.68,18.840000000000003,45.879999999999995,20.490000000000002,15.889999999999999,11.426666666666668,17.02,12.3
Region IV-A ,Parrot fish ,38.0,34.0,41.333333333333336,33.733333333333334,32.74000000000001,10.629999999999999,,33.01333333333333,654.68,4.88,,,8.26,,5.88,106.67,92.59,81.53999999999999,128.5,68.56,88.48,80.25,38.84
Region IV-A ,Porgies ,47.0,42.666666666666664,13.219999999999999,14.4,19.5,28.259999999999998,6.306666666666667,36.300000000000004,1204.04,53.53,49.730000000000004,102.51,151.26000000000002,45.24,47.349999999999994,75.01,167.11,83.39000000000001,87.97,72.46,113.98,0.8,161.91
Region IV-A ,Round herring ,96.0,308.0,128.97333333333333,348.06666666666666,143.77,184.29000000000002,247.17999999999998,114.24000000000001,133.84,99.15,30.35,22.54,21.48,40.026666666666664,51.32,78.41999999999999,71.91,105.84,40.38,9.4,,10.299999999999999,113.7
Region IV-A ,Roundscad ,20929.0,21769.0,20060.06,18865.84,26507.399999999998,19867.050000000003,17829.399999999998,18356.03,18631.56,17054.17,16165.779999999999,20164.43,19464.36,21922.15,9953.779999999999,7144.639999999999,6198.049999999999,5591.1900000000005,4856.040000000001,5037.880000000001,5114.5599999999995,7239.42,8574.67
Region IV-A ,Siganid ,65.0,83.0,81.33333333333333,56.9,30.560000000000002,109.78999999999999,254.11,179.59,93.32,1.8000000000000003,64.82,24.56,10.1,2.06,15.760000000000002,582.11,126.59,211.39000000000001,202.92,90.16,129.6,65.0,6.26
Region IV-A ,Skipjack ,4576.0,5407.0,5534.49,5138.54,1769.73,3094.74,2819.41,2980.73,3016.8599999999997,1868.24,2273.02,1784.0,2140.25,2583.58,2298.85,1772.4,1417.3500000000001,2636.4700000000003,1534.6799999999998,1854.02,2907.98,4106.23,6251.58
Region IV-A ,Slipmouth ,10011.0,9139.0,8639.78,8279.57,8387.529999999999,6779.650000000001,4956.969999999999,3368.98,3437.87,3320.5600000000004,2729.78,414.45000000000005,458.46000000000004,729.95,483.53000000000003,1306.46,522.68,528.7,431.53000000000003,349.09000000000003,143.71,365.58,225.7
Region IV-A ,Snapper ,26.0,138.0,11.2,66.66,28.509999999999998,73.19,97.52,219.20999999999998,740.32,1218.28,301.52,131.16,151.39,201.39,21.32,402.1866666666667,60.94,82.42,154.95999999999998,59.720000000000006,14.42,14.280000000000001,200.11999999999998
Region IV-A ,Spanish mackerel ,70.0,93.0,110.61,98.14999999999999,58.61,260.85,664.87,389.0300000000001,415.96999999999997,415.99,877.8,1471.33,841.45,520.45,597.5,446.73999999999995,187.38,267.72999999999996,382.49,398.1,345.49,901.05,365.67999999999995
Region IV-A ,Squid ,4083.0,4008.0,3746.0600000000004,3240.64,2542.1200000000003,3094.47,2661.18,2371.9100000000003,1603.64,1863.7,1531.93,1092.8999999999999,711.01,678.97,1214.81,896.5899999999999,647.59,605.14,952.12,862.0200000000001,912.34,1303.07,589.23
Region IV-A ,Threadfin bream ,1107.0,1137.0,962.97,2189.56,1709.75,2074.5,1234.1000000000001,778.17,829.9000000000001,213.34999999999997,280.97,446.03999999999996,472.64,921.68,409.58,350.18,317.67,390.85,725.7,366.9,475.4,1673.22,737.78
Region IV-A ,Yellowfin tuna ,4600.0,4581.0,5081.55,1427.87,1646.01,2001.0,2016.41,5165.900000000001,3511.13,3062.2,4223.62,4827.1900000000005,3654.75,2235.69,2734.49,2710.38,2285.03,1205.3600000000001,1155.7300000000002,1579.2000000000003,1956.1,3574.3900000000003,5022.41
Region IV-A ,Others,10001.0,5579.0,4318.53,1424.12,2306.98,4432.8,5286.29,7137.03,7022.419999999999,6538.609999999999,4640.34,3502.36,2317.34,1891.34,6315.3099999999995,5614.84,4782.49,3528.08,3209.9700000000003,2312.25,2201.53,4040.7699999999995,2371.5
MIMAROPA Region,Acetes ,6.666666666666667,12.0,10.55,11.51,15.62,18.63,27.42,40.209999999999994,29.49,15.3,13.190000000000001,12.96,13.900000000000002,11.01,10.35,9.989999999999998,6.0600000000000005,,13.52,7.44,3.04,,22.4
MIMAROPA Region,Anchovies ,2161.0,2557.0,3175.23,3179.23,3227.35,2457.22,2106.61,2760.78,3277.62,3030.45,2713.84,2439.0199999999995,2291.61,2211.7000000000003,2138.93,1988.76,1336.8799999999999,918.1000000000001,693.5899999999999,704.81,261.58,397.02000000000004,129.77
MIMAROPA Region,Big-eyed scad ,971.0,1055.0,1708.55,1821.4699999999998,1947.4,1610.78,1659.9300000000003,1693.42,1941.08,1915.11,1623.86,1656.5700000000002,1731.45,1765.42,826.04,842.15,738.1600000000001,804.21,951.1600000000001,956.33,566.24,544.29,968.4099999999999
MIMAROPA Region,Bigeye tuna ,,,,1012.0699999999999,1237.25,1010.69,1336.93,126.83999999999999,900.2400000000001,232.0,218.91,232.45000000000002,232.51,226.0,271.82,285.03999999999996,212.07,151.48,180.06,158.22000000000003,141.0,28.653333333333336,91.01
MIMAROPA Region,Blue crab ,72.0,69.0,99.27000000000001,81.56,96.6,99.02,108.22,93.88,76.84,82.19000000000001,123.84,84.92999999999999,90.28999999999999,87.43,38.349999999999994,64.83,22.61,23.42,15.119999999999997,12.48,30.92,,
MIMAROPA Region,Caesio ,869.0,1135.0,906.45,899.52,994.8,1167.01,1060.19,1204.6100000000001,1471.63,1603.48,1747.42,1340.54,1514.7999999999997,1478.42,653.2900000000001,775.6,635.79,856.23,807.0,1500.0,1038.01,1271.48,1217.3400000000001
MIMAROPA Region,Cavalla ,833.0,903.0,793.29,814.74,932.4,1018.02,1220.6599999999999,991.46,1579.3000000000002,1419.1299999999999,1074.32,954.69,936.65,897.76,733.1099999999999,754.5600000000001,585.9,583.15,436.71,736.5999999999999,308.04,126.13,163.43
MIMAROPA Region,Crevalle ,710.0,879.0,1031.96,1044.35,959.5699999999999,879.04,1048.49,862.55,1176.1299999999999,1155.4399999999998,1150.0,1344.99,1410.75,1193.54,877.64,831.0,670.54,704.98,390.92,432.4,217.86,632.8399999999999,310.34999999999997
MIMAROPA Region,Eastern little tuna ,8.0,17.0,69.76,81.10000000000001,72.74,169.4,136.53,237.74,329.32,323.37,353.81,356.58000000000004,449.46000000000004,402.74,282.1,310.64,228.93,199.37,233.77999999999997,343.3,133.9466666666667,46.650000000000006,233.28
MIMAROPA Region,Fimbriated sardines ,1082.0,2540.0,2765.6,2807.9300000000003,3009.0,2658.67,1713.0900000000001,1861.63,1864.59,1645.86,1414.31,1533.97,1469.47,1435.72,1559.98,1612.0300000000002,1189.02,1297.56,1068.79,943.3699999999999,292.49,274.21000000000004,65.54999999999998
MIMAROPA Region,Flying fish ,28.0,64.0,29.5,26.2,20.93,46.980000000000004,39.32,38.08,50.63,65.08000000000001,85.24000000000001,64.12,73.26,76.53,51.95,49.410000000000004,69.97,72.82,59.480000000000004,125.01,84.13,95.88,153.97
MIMAROPA Region,Frigate tuna ,1469.0,2014.0,2498.4700000000003,2689.77,3304.48,3024.8399999999997,3699.1,4183.330000000001,3627.56,3124.26,3150.3100000000004,2969.83,3003.8199999999997,2674.23,2534.3199999999997,2893.7,2878.0699999999997,2873.23,3217.1200000000003,3405.3900000000003,2013.77,2894.0299999999997,3725.84
MIMAROPA Region,Goatfish ,1028.0,937.0,794.97,808.23,802.9000000000001,637.6899999999999,510.34,529.88,573.6899999999999,564.61,674.1700000000001,713.95,802.56,801.82,435.53999999999996,574.87,537.6,459.8,367.57,502.88,168.84,2.54,8.36
MIMAROPA Region,Grouper ,775.0,924.0,856.23,811.03,892.04,1119.09,1099.12,874.63,868.8299999999999,840.86,614.3699999999999,667.83,595.85,627.5699999999999,193.31,210.71,184.36,219.42,203.78,286.52,138.92999999999998,275.86,106.9
MIMAROPA Region,Hairtail ,111.0,113.0,113.22,169.79,144.45,204.0,418.74999999999994,305.14,300.21000000000004,250.78,235.89000000000001,308.55,312.02,309.02,211.08999999999997,215.95999999999998,177.92,43.35,41.89,61.17,49.13333333333333,11.139999999999999,78.38
